序号,用户,id,点赞,时间,内容,label2
1,污少女_,1004457073,2,2020/8/23 0:35,晚安李医生&nbsp;&nbsp;孕妇不能熬夜 我要早点睡了        ,
2,污少女_,1004457073,1,2020/8/23 0:33,李医生 要开学了[二哈]        ,
3,姚某某出发,1005794684,0,2020/12/30 21:18,现在开始学走路了吗？[泪]        ,
4,榕榕898,1030003944,7,2020/4/19 23:34,文亮医生呀，现代人的心态到底是啥呀？好多网红公司要签刚出狱不要打工的人；是编剧教会了小三还是从小三那里学的，这个世界还有善恶美丑的判断吗？夜了，晚安🍺🍺        ,
5,榕榕898,1030003944,1,2020/4/18 5:34,文亮医生，早呀！        ,
6,榕榕898,1030003944,3,2020/4/4 1:53,英烈为家国舍生忘死，逝世同胞亦盼山河无恙。文亮医生 [白蜡烛]晚安        ,
7,古哥老鱼,1045195617,1,2020/12/30 9:23,去年今日李医生，同学群里吹哨人——“12月30日，我看到一份病人的检测报告……”        ,
8,偶得酋长,1053547211,0,2020/6/21 7:02,父亲节快乐，师兄！        ,
9,晖小V,1061697312,5,2020/4/19 12:52,连病原学报告都有了，为什么还说不具备传染性？为什么要隐瞒疫情？可以说出理由吗？        ,
10,冬眠的鱼_,1074888512,11,2月6日 21:40,也许世界很难因为谁而改变，但你教会我永远坚持自己的专业度和底线。❤️        ,
11,月饼神教教皇,1115527307,5,2020/8/21 12:04,人这一生要死去三次；第一次，你的心跳停止呼吸消失，在生物学上被宣告了死亡。第二次，当你下葬，人们穿着黑衣出席葬礼宣告你的死亡，你在这个社会上便不复存在。而第三次，则是这个世界上最后一个记得你的人把你忘记。到了那个时候，你才是真正的死去。整个宇宙，都将不再和你有关。” ​​​        ,
12,凝固之海,1146056633,13,2020/5/9 9:24,文亮医生好！看了艾芬医生的文章《早知道有今天，我管他批评不批评，老子到处说》，泪眼婆娑，仿佛看到了中国的希望，正是因为有了你们，无惧风雨，砥砺前行🙏        ,
13,哼哼米勒佛,1162724545,5,2020/9/8 16:42,恍若隔世，真已隔世。老同学，走好！        ,
14,JL天那边,1210458543,1,2020/12/31 3:32,你走了，有的人学会了戴口罩！你走了，有的人学会了继续说谎！        ,
15,预言士,1222630273,1,1月31日 19:46,通过医学论证的事竟被警察训诫，荒唐荒诞        ,
16,郭天笑GTX,1224688605,5,7月25日 21:47,正在看教考的备考资料，刷到2020年的网课，里面提到了您，过来看看，还好您没有被遗忘[微风]        ,
17,二师兄托尼,1238529585,3,2020/4/8 20:43,文亮师兄，武汉已解封，请尽快恢复工作......        ,
18,二师兄托尼,1238529585,2,2020/3/16 21:24,悼念文亮师兄。        ,
